title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Bal Sakha Yojana,,"['Health & Wellness', 'Utility & Sanitation']","Under this scheme, all babies born to BPL mothers in the State (approximately 3,00,000 births per annum) will be covered for neonatal care by partnering pediatricians, including care in their Neonatal Intensive Care Unit (level 2 ) at no cost to the beneficiary.",,,bsy,"['Bal Sakha', 'Child Protection', 'Child Health', 'Primary Healthcare Services', 'National Health Mission']",Search
Bal Shakti Yojana,,"['Women and Child', 'Health & Wellness']","The scheme aims to reduce severe malnutrition and child mortality by providing free institutional care, diet, and medical treatment to severely malnourished children below 5 years of age.",,,bsymp,"['Childcare', 'Medical', 'Diet', 'Rehabilitation']",Search
Bal Swasthya Karyakram - Uttarakhand,,"['Women and Child', 'Health & Wellness']","This initiative aims to ensure the survival, healthy growth, and overall well-being of children aged 0–5 years by providing accessible, comprehensive and quality healthcare services.",,,chpuk,"['Child', 'Newborn', 'Childcare', 'Health']",Search
Aswasakiranam,,['Health & Wellness'],"Aswasakiranam Scheme envisages assisting the caregivers of physically and mentally disabled bedridden patients, who are their family members or relatives. All those who have been providing caregiving service to patients since 02/08/10 will be paid monthly assistance with retrospective effect.",,,ak,"['Mentally Disabled', 'Financial Assistance', 'Physically Disabled', 'Money Assistance']",Search
Atal Mission For Rejuvenation And Urban Transformation,Ministry Of Housing & Urban Affairs,"['Utility & Sanitation', 'Transport & Infrastructure', 'Health & Wellness']","Providing basic services (e.g. water supply, sewerage, urban transport) to households and building amenities in cities which will improve the quality of life for all, especially the poor and the disadvantaged is a national priority. 

",,,amrut,"['Basic Services', 'Parks', 'Green Space', 'Urban Transport', 'Non-Motorized', 'Sewerage', 'Septage Management', 'Storm Water', 'Drainage']",Search
Atal Sneh Yojana,,['Health & Wellness'],"Gujarat Chief Minister Shri Vijay Rupani here today announced the Atal ‘Screening of Newborn for Enhancement of Health’ (SNEH) Yojna to be started in the state from the former Prime Minister Atal Behari Vajpayee’s birthday on December 25, 2016.",,,asyg,"['Atal Sneh', 'Newborn Child', 'Health', 'Gujarat']",Search
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,,"['Health & Wellness', 'Social welfare & Empowerment']","The component “Accidental Injuries” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance to the workers or craftsmen in case of accidental injuries.",,,bsakai,"['Social Security', 'Unorganised Worker', 'Craftsmen', 'Accidental Injuries', 'Medical Assistance']",Search
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,,"['Social welfare & Empowerment', 'Health & Wellness']","The component “Accidental Death” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance of ₹1,00,000/- to the families of workers or craftsmen in case of accidental death.

",,,bsakad,"['Social Security', 'Unorganised Worker', 'Craftsmen']",Search
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,,"['Health & Wellness', 'Social welfare & Empowerment']","“Medical Assistance for Incurable Diseases” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” by the Labour Resources Dept., provides financial assistance ranging from ₹7,500/- to ₹30,000/- to workers or craftsmen suffering from incurable diseases.",,,bsakmaid,"['Social Security', 'Unorganised Worker', 'Craftsmen', 'Incurable Diseases', 'Medical Assistance']",Search
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,,"['Health & Wellness', 'Social welfare & Empowerment']","“Permanent Partial Disability” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Dept, Bihar, provides financial assistance of ₹37,500/- to the families of workers or craftsmen in case of permanent partial disablement.",,,bsakppd,"['Social Security', 'Unorganised Worker', 'Craftsmen', 'Permanent Partial Disability']",Search
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,,"['Health & Wellness', 'Social welfare & Empowerment']","“Total Permanent Disability” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance of ₹75,000/- to the families of workers or craftsmen in case of permanent disablement.",,,bsaktpd,"['Social Security', 'Unorganised Worker', 'Craftsmen']",Search
Biju Swasthya Kalyan Yojana,,['Health & Wellness'],"Biju Swasthya Kalyan Yojana (BSKY) has been launched by the Department of Health and Family Welfare, Government of Odisha as a path-breaking program to provide universal health coverage, with special emphasis on the health protection of vulnerable families and women.",,,bsky-chcsgh,"['Healthcare', 'Smart Health Card', 'Financial Protection']",Search
Cancer Suraksha Scheme,,['Health & Wellness'],The Government of Kerala launched the “Cancer Suraksha Scheme” on 1st November 2008 for children below the age of 18 who suffer from cancer and belong to such families which are too poor to afford treatment. This scheme was launched under Kerala Social Security Mission.,,,css,"['Cancer', 'Patients', 'Free Treatment', 'BPL', 'Hospital']",Search
Cancer Day Care Centre - Uttarakhand,,['Health & Wellness'],"The scheme aims to ensure early detection & timely treatment of cancer by providing accessible & affordable healthcare services within the state. Under this initiative, free screening for common cancers such as oral, breast, & cervical cancer is being conducted across all districts of Uttarakhand.",,,cdccuk,"['Cancer', 'Day Care Centre', 'Cancer Patient', 'Chemotherapy']",Search
Andaman & Nicobar Islands Scheme for Health Insurance,,['Health & Wellness'],The Health Insurance (ANISHI) shall provide cashless treatment upto Rupees 5 Lakhs per patients per illness which include indoor and outdoor treatments.,,,anishi,"['ANISHI', 'Health', 'Insurance', 'Cashless Treatment', 'Patient']",Search
Annual Medical Assistance Scheme (BBOCWWB),,"['Skills & Employment', 'Health & Wellness']","The ""Annual Medical Assistance Scheme"" by the Bihar Building & Other Construction Workers Welfare Board, Labour Resources Department, Government of Bihar, provides a yearly financial assistance of ₹3,000/- to the construction workers who are registered with the Board.",,,amapbbocwwb,"['Construction', 'Labour', 'Medical', 'Worker', 'Financial Assistance']",Search
Aravanaippu Illam,,"['Social welfare & Empowerment', 'Health & Wellness']","The scheme “Aravanaippu Illam"" was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to take care of persons who are lacking basic needs & proper care in society, and to maintain them in a safe living condition.",,,aillam,"['Disability', 'Food', 'Shelter', 'Medical', 'Clothes']",Search
Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,,"['Health & Wellness', 'Social welfare & Empowerment']","Chhattisgarh State Government started a scheme ""Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana "" for unorganized worker on 09 December 2019. ",,,akmeds,"['Financial Assistance', 'Family Benefits', 'Empowerment']",Search
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012.",,,akgbcsy,"['Medical Treatment', 'Financial Assistance', 'Serious Illness']",Search
Asangathit Karmakar Prasuti Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Prasuti Sahayata Yojana"" for unorganized worker on 10 April 2018.",,,akpsy,"['Financial Assistance', 'Delivery Assistance', 'Empowerment']",Search
Assam Arogya Nidhi Scheme,,"['Health & Wellness', 'Social welfare & Empowerment']",The scheme “Assam Arogya Nidhi Scheme” is a yearly Financial Assistance Scheme provided as reimbursement to members of families whose yearly income is less than ₹5.00 lakhs for treatment of serious diseases including accident cases. ,,,aan,"['Hospital', 'Treatment', 'Accidental Case', 'Diseases', 'Financial Assistance']",Search
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,,"['Health & Wellness', 'Women and Child']","The Government of Tamil Nadu introduced ""Assistance for Delivery/Miscarriage of Pregnancy/Termination of Pregnancy to Female Differently Abled Person.",,,admptpfdap,"['Female', 'Delivery', 'Miscarriage', 'Pregnancy', 'Differently Abled Person']",Search
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),,['Health & Wellness'],"The ""Assistance For Major Ailments (Karmika Chikitsa Bhagya)'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial support to registered construction workers and their dependents for medical expenses related to specified major ailments. ",,,amakcbkassistance-for-major-ailments-karmika-chikitsa-bhagya-kbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Ailments', 'Medical Assistance']",Search
Assistance For Purchase of Aids/Appliances,,"['Women and Child', 'Health & Wellness', 'Social welfare & Empowerment']","The ""Assistance for Purchase of Aids/Appliances"" scheme is to provide support to individuals with disabilities by facilitating access to assistive devices and appliances. ",,,afpoaa,"['Disability', 'Aids Appliances', 'Financial Assistance', 'Handicapped']",Search
Assistance Scheme for Occupational Diseases (GBOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']",The “Assistance Scheme for Occupational Diseases” has been implemented by the Gujarat Building and Other Construction Worker’s Welfare Board (GBOCWWB) to provide financial assistance to registered construction workers for 15 types of occupational diseases and 23 types of serious injuries.,,,asodgbocwwb,"['Occupational Diseases', 'Injuries', 'Construction Worker', 'Building Worker', 'Labour', 'Financial Assistance', 'Free Medical Treatment']",Search
Aastha Yojana,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme aims to provide BPL-equivalent benefits to families with two or more specially-abled members. Under this scheme, eligible families receive free medical treatment, ration supplies, and other welfare benefits. ",,,asr,"['Persons With Disabilities', 'Medical Treatment', 'Ration', 'Welfare Benefits', 'PwD', 'Astha Card']",Search
Accident Assistance (K.B.O.C.W.W.B),,['Health & Wellness'],"The ""Accident Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that aims to provide compensation of a certain amount both from the employer and the Board.

",,,kaabocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Accident', 'Disability', 'Death Benefit']",Search
 Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,,['Health & Wellness'],"The scheme ""Nirman Shramik Jeevan va Bhavishya Suraksha Yojana"" aims to provide financial security and social protection through insurance and pension benefits to registered construction workers and their families. Benefits under various flagship schemes are provided.",,,nsjbsy,"['Medical', 'Insurance', 'Health', 'Labor', 'Premium', 'Construction', 'Pension']",Search
Dikri Development Scheme-DNH&DD,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme aims at “Saving girls” as the primary objective and to improve the Sex Ratio at birth. Through this scheme, money is deposited in the name of the girl child under the LIC Single Premium Endowment Plan for the first two living girl children.",,,dds,"['Girl Child Financial Security', 'Institutional Delivery Promotion', 'DBT']",Search
Mission Vatsalya-DNH&DD,Ministry of Women and Child Development,"['Social welfare & Empowerment', 'Women and Child', 'Housing & Shelter', 'Skills & Employment', 'Health & Wellness', 'Education & Learning']","Scheme Target for safety, happy childhood for every child by focusing on child protection, welfare, and development. It aims to support children in need of care (CNCP) and conflict with the law (CCL) through family-based non-institutional care, strengthening statutory bodies (like CWCs) and ensuring",,,vatsalya-dnhanddd,"['Central Adoption Resource Authority', 'Children Homes', 'Shisu Gruh Specilized Adoption Agency', 'Open Shelter Home', 'Child Helpline']",Search
Dharti Aaba Janjatiya Gram Utkarsh Abhiyaan,Ministry Of Tribal Affairs,"['Health & Wellness', 'Education & Learning', 'Housing & Shelter', 'Social welfare & Empowerment', 'Banking,Financial Services and Insurance', 'Agriculture,Rural & Environment', 'Travel & Tourism', 'Women and Child', 'Skills & Employment']","The scheme ensures holistic and sustainable development of tribal communities, building on PMJANMAN. It promotes inter-ministerial convergence across 17 ministries with 25 focused interventions. Gap analysis by departments guides need-based funding to bridge development gaps effectively.",,,dajgua,['Dharti Aaba Janjatiya Gram Utkarsh Abhiyaan'],Search
Chief Minister Arogya Arunachal Yojana,,['Health & Wellness'],"The scheme aims to accord quality and cashless healthcare services to the indigenous people of the state and government employees and reduce out-of-pocket (OOP) expenses during major illness and hospitalization, thereby envisaging universal healthcare for all sections of society.",,,cmaay,"['Health', 'Medical', 'Hospital', 'Surgery', 'Patient']",Search
Compensation for Human Death or Injury Caused by Wild Animals,,"['Agriculture,Rural & Environment', 'Health & Wellness']",The scheme aims to provide financial relief to victims or families affected by wild animal attacks in both urban and rural areas through timely monetary compensation.,,,chdicbwa,"['Financial Assistance', 'Deceased', 'Injured', 'Wild Animal']",Search
Dai Didi Mobile Clinic Scheme,,"['Health & Wellness', 'Women and Child']","Government of Chhattisgarh state, started a scheme named ""Dai Didi Clinic Scheme"" in 2020.",,,ddmcs,"['Free Treatment', 'Medicine', 'Women Health']",Search
Day Care - cum - Recreation Centre and Physiotherapy Unit,,['Health & Wellness'],"Through the scheme “Day Care - cum - Recreation Centre and Physiotherapy Unit"" under ""Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)"", the senior citizens are provided free physiotherapy given by the physiotherapist, as advised by the doctors.",,,dccrcpu-giapsca,"['Senior Citizen', 'Social Welfare', 'Physiotherapy', 'Recreation', 'Daycare']",Search
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),,"['Health & Wellness', 'Banking,Financial Services and Insurance']",The objective of this scheme is to provide socio-financial security to eligible residents of Haryana. The scheme provides financial assistance in the event of death (natural/accidental) or permanent disability (caused by an accident) of a family member whose annual income is less than ₹1.80 lakh.,,,dayalu,"['DAYALU', 'Financial Assistance', 'Death', 'Permanent Disablity']",Search
Deen Dayal Swasthya Seva Yojana,,['Health & Wellness'],"To facilitate and take the medical services to the next level, the State of Goa envisaged the present scheme to provide its people with quality medical care and treatment of diseases, hospitalization and surgery through Government and private hospitals.",,,ddssy,"['Insurance', 'Health Coverage', 'Goa', 'Cashless']",Search
Deendayal Antyodaya Upchar Yojana,,['Health & Wellness'],The scheme aims to provide eligible BPL families with free treatment cards by issuing health access cards within a fixed time limit.,,,ddauy,"['Medical Card', 'Health', 'BPL', 'Free Treatment']",Search
Delhi Arogya Kosh,,['Health & Wellness'],"""Delhi Arogya Kosh” (DAK) provides Financial assistance to needy eligible patients for treatment of any illness/treatment/intervention required by the patient undergoing treatment in a Government Hospital run by Delhi Government or Central Government or Autonomous Hospital under the State Government",,,dak,"['Arogya Kosh', 'Delhi', 'Financial Assistance', 'Family Health']",Search
Delhi Arogya Nidhi,,['Health & Wellness'],Delhi Arogya Nidhi (DAN) is a scheme to provide financial assistance upto ₹1.5 lacs to needy patients who have National Food Security Cards for the treatment of diseases in Government hospitals only.,,,dan,"['Arogya', 'Nidhi', 'Health', 'Patient', 'Treatment']",Search
"Denture, Spectacles & Hearing Aid Scheme (P.B.O.C.W.W.B)",,['Health & Wellness'],"The ""Denture, Spectacles & Hearing Aid Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial aid to beneficiary construction workers & their families for denture, spectacles & hearing aid.
",,,dshaspbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Denture', 'Spectacles', 'Hearing Aid']",Search
Family Planning Indemnity Scheme,,['Health & Wellness'],"The scheme provides compensation ranging from ₹60,000/- for sterilization failure to ₹4,00,000/- for death following sterilization, along with coverage for treatment costs up to ₹50,000/- for complications arising within 60 days post-operation.",,,fpis,"['Family', 'Sterilization', 'Compensation', 'Death', 'Indemnity', 'Healthcare', 'Medical', 'Insurance']",Search
Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),Ministry Of Defence,['Health & Wellness'],"The scheme provides financial assistance of a maximum of ₹ 1,00,000 from the Armed Forces Flag Day Fund (AFFDF) for the procurement of modified scooters, crutches and wheelchairs for Ex-Servicemen who are disabled after their retirement from service with a disability of 50% or more.",,,affdf,"['Ex-Servicemen', 'Person With Disability', 'Sainik', 'Handicapped', 'ESM']",Search
Financial Assistance Scheme for Journalists and Litterateurs - Rajasthan,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme aims to provide financial support to journalists and litterateurs for the treatment of critical illnesses, medical emergencies and no source of income, unemployment, or advanced age.",,,fasfj,"['Financial Assistance', 'Journalist', 'Litterateur', 'Medical', 'Treatment', 'Old Age']",Search
Financial Assistance Scheme for Dependents of Deceased Journalists and Litterateurs - Rajasthan,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme aims to provide financial support to the dependents of deceased journalists and litterateurs in situations such as medical emergencies, unemployment, or when there is no other source of income.",,,fasfjd,"['Financial Assistance', 'Journalist', 'Litterateur', 'Medical Assistance', 'Deceased Journalists', 'Dependent']",Search
Financial Assistance for ANM/GNM/Technical Courses,,"['Health & Wellness', 'Skills & Employment']","The scheme aims to provide assistance to the youths of the Tea Tribes and Adivasi Community for training in job-assured technical and professional Diploma and Degree courses. It supports training for courses like ANM, GNM, and Para-Medical, with a minimum duration of one year.",,,faanmgnmtc,"['Health', 'Financial Assistance', 'Medical', 'Skill', 'Training', 'Nurse']",Search
Employee Health Scheme,,['Health & Wellness'],"The Employee Health Scheme (EHS) is a government-run health scheme in Andhra Pradesh, providing cashless treatment at network hospitals for government employees, pensioners, and their families under the Dr. YSR Aarogyasri Healthcare Trust.",,,ehsap,"['Health Coverage', 'Government Employees', 'Cashless Treatment', 'Pensioners', 'Hospitalisation']",Search
District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,,"['Banking,Financial Services and Insurance', 'Health & Wellness']","The scheme offers financial aid to pregnant women via Self Help Groups. The loan is capped at ₹2,000/- with an interest rate of 11%, subject to changes.
",,,dccbfml,"['Maternity Loan', 'Self Help Groups', 'Women Empowerment', 'Health And Wellness', 'Pregnancy']",Search
Divyangjan Scholarship Scheme,,"['Social welfare & Empowerment', 'Education & Learning', 'Health & Wellness']","""Divyangjan Scholarship Scheme"" provides financial assistance for the education and training of differently-abled children, who are regular students in a school or college. The application needs to be submitted to the District Office, Panchayat and Social Welfare / Janpad Panchayat Office.",,,dssmp,"['Education', 'Student', 'Disability', 'Scholarship', 'Financial Assistance']",Search
